feature,numerator,denominator,multiplication_factor
FEF75OFVC,SPPFEF75,SPPFVC,100
FEF75OPEFR,SPPFEF75,SPPPEAK,100
FEV1OFVC,SPPFEV1,SPPFVC,100
FEV1OFEV3,SPPFEV1,SPPFEV3,100
FEV1OFEV6,SPPFEV1,SPPFEV6,100
PEFROFVC,SPPPEAK,SPPFVC
PEFROFEV6,SPPPEAK,SPPFEV6
PEFROFEV1,SPPPEAK,SPPFEV1
FEV3OFEV6,SPPFEV3,SPPFEV6,100
FEV3OFVC,SPPFEV3,SPPFVC,100
FEV6OFVC,SPPFEV6,SPPFVC,100
MMEFOPEFR,SPPMMEF,SPPPEAK,100
MMEFOFVC,SPPMMEF,SPPFVC
FEV05OFEV3,SPPFEV05,SPPFEV3,100
FEV05OFVC,SPPFEV05,SPPFVC,100
FEV05,SPPFEV05,,0.001
FEV1,SPPFEV1,,0.001
FEV3,SPPFEV3,,0.001
FEV6,SPPFEV6,,0.001
FVC,SPPFVC,,0.001
PEFR,SPPPEAK,,0.001
MMEF,SPPMMEF,,0.001 
FEF75,SPPFEF75,,0.001
FEV05,SPPFEV05,,0.001
EXPIR,SPPEXPIR
