,sex,ethnicity,age_range,var,intercept,slope,r_squared,std,count
0,male,black,all,EXPIR,4.232760650927544,0.1835712568817293,0.23478146463064942,3.4703666548981866,1077
1,male,black,all,FEF75,-0.5855628090106211,-0.010711003746583514,0.32888463852362937,0.7233192063806045,1077
2,male,black,all,FEV05,-1.0765571365621112,0.035301663062172355,0.7372867125381243,0.7883197038610739,1077
3,male,black,all,FEV1,-1.5331647303196423,0.03189732806708366,0.7747949794143117,0.9953353964467724,1077
4,male,black,all,FEV3,-1.8663567717340661,0.034681238035409595,0.798749504859473,1.1424927172147739,1077
5,male,black,all,FEV6,-1.9127015032824053,0.03988320637280549,0.8015245016437111,1.17564756642886,1077
6,male,black,all,FVC,-1.9385479536199486,0.04284906687702928,0.8020897726166867,1.194849301077995,1077
7,male,black,all,MMEF,-1.23575849508644,0.0516123040984051,0.4464626847194585,1.38211682960146,1077
8,male,black,all,PEFR,-3.65534126705594,0.1669601803483776,0.6884567609363038,2.6871013205185483,1077
9,male,black,under,EXPIR,-1.1658520699165624,1.0583960961627157,0.03837149873551382,2.782728955154185,599
10,male,black,under,FEF75,-0.010761595937576862,-0.07805940701973352,0.43934990374793903,0.7308634590514734,599
11,male,black,under,FEV05,-0.20729248257829802,-0.07896429541434734,0.8182529613940036,0.7523637886991038,599
12,male,black,under,FEV1,-0.2644904138214317,-0.1450804930286327,0.8513433423822966,0.9786349966194151,599
13,male,black,under,FEV3,-0.36083573456300133,-0.1829250937178255,0.8631568307829444,1.1148144912309221,599
14,male,black,under,FEV6,-0.3509764727286724,-0.18691276579755503,0.8623074038463193,1.1268410224858976,599
15,male,black,under,FVC,-0.34495327455659064,-0.18818892201522627,0.8619991474529833,1.1303506271994366,599
16,male,black,under,MMEF,-0.5532597610653553,-0.01180777840053556,0.5541368967453697,1.3326252315385096,599
17,male,black,under,PEFR,-0.2717983467372562,-0.23968596825400085,0.7663330992631568,2.374700814910213,599
18,male,black,over,EXPIR,0.9691016265204215,0.24507004274565664,0.14591564097470844,3.6300197777108987,478
19,male,black,over,FEF75,2.000339504933143,-0.04782076949380931,0.3058241721263413,0.7129755630733912,478
20,male,black,over,FEV05,0.6292354853088731,-0.00620652351350438,0.38392271764347063,0.5851750148205482,478
21,male,black,over,FEV1,0.8410358400846318,-0.024286783500981124,0.47454152936886496,0.721144792655571,478
22,male,black,over,FEV3,0.7054198911171334,-0.031010352136648857,0.49596225337632094,0.7948659261129675,478
23,male,black,over,FEV6,0.49803078058555794,-0.026210546122458742,0.4651335274218026,0.7993092505635994,478
24,male,black,over,FVC,0.27161674599025165,-0.021169302573462005,0.43215830226375884,0.7994595120804048,478
25,male,black,over,MMEF,2.433199962332558,-0.009378422184856737,0.27950400221885985,1.3269510630085626,478
26,male,black,over,PEFR,1.320507569382424,0.0050913170138791285,0.2679760425626704,2.046978040269101,478
27,male,non-black,all,EXPIR,4.659549784251882,0.27626354269227754,0.35004746553107,3.742419944558397,2149
28,male,non-black,all,FEF75,-0.48203619098377803,-0.031516759310787054,0.44820569023145973,0.7477152529792832,2149
29,male,non-black,all,FEV05,-1.0227374459260519,0.0407787822990589,0.7783025284322783,0.821442086562921,2149
30,male,non-black,all,FEV1,-1.540243750450689,0.035418712033914675,0.8174002515637562,1.0629379952254008,2149
31,male,non-black,all,FEV3,-1.9633693161863897,0.04038247187079209,0.8346045544023659,1.2439333044913032,2149
32,male,non-black,all,FEV6,-2.0290531757805397,0.04874007990385991,0.8374447202131126,1.2822804435911173,2149
33,male,non-black,all,FVC,-2.050312219064046,0.05408694543128698,0.8380483765839587,1.3027580033262476,2149
34,male,non-black,all,MMEF,-1.020705459858911,0.03500259481691108,0.5128349959397371,1.3996455363297222,2149
35,male,non-black,all,PEFR,-3.4339785138399925,0.18365903692084168,0.7329847362528095,2.6687180328864106,2149
36,male,non-black,under,EXPIR,4.250704880936041,0.23852109143385036,0.04774214531232557,2.5057712786271993,1019
37,male,non-black,under,FEF75,-0.1626554697669651,-0.08964195196270913,0.5192121886732226,0.748954352933619,1019
38,male,non-black,under,FEV05,-0.022779003181049973,-0.0937226461316514,0.8628583149373892,0.7930775839958494,1019
39,male,non-black,under,FEV1,-0.12326715867193405,-0.15548321386502775,0.8989508806529942,1.0612340110131298,1019
40,male,non-black,under,FEV3,-0.038465475757711864,-0.2093203666831514,0.9072615569431446,1.2206535396070628,1019
41,male,non-black,under,FEV6,-0.0027957680677892505,-0.21191756139178827,0.9053219746959296,1.2310956811152982,1019
42,male,non-black,under,FVC,0.011954743733016748,-0.21296013674978956,0.9045449702788,1.2327509908817258,1019
43,male,non-black,under,MMEF,-0.2083479613260124,-0.09686736126108664,0.6400996445978847,1.3384588059600993,1019
44,male,non-black,under,PEFR,0.5527090876538736,-0.3329505764766299,0.8063325569709308,2.3418567930897365,1019
45,male,non-black,over,EXPIR,3.40623849948968,0.3337313064738262,0.19369644842083322,3.837235752288935,1130
46,male,non-black,over,FEF75,2.1400832766324043,-0.06326419688525341,0.49087532368108877,0.741261477390782,1130
47,male,non-black,over,FEV05,0.9197777526623625,0.0019106759153912094,0.5638715909237367,0.6176210945557701,1130
48,male,non-black,over,FEV1,0.9839829098784287,-0.01653212514595287,0.6700920329563358,0.8154550279921012,1130
49,male,non-black,over,FEV3,0.5628794665069039,-0.02137432113213432,0.6822105491827846,0.9310330321044344,1130
50,male,non-black,over,FEV6,0.2454559744908389,-0.011955878745242308,0.6525251430493749,0.9270955904860855,1130
51,male,non-black,over,FVC,-0.013759375325926193,-0.002637194464198274,0.6085030535066611,0.9051201576045805,1130
52,male,non-black,over,MMEF,3.7073662944551455,-0.034412539704196166,0.46398772081475514,1.395535157180397,1130
53,male,non-black,over,PEFR,1.0468056386799454,0.07164318057166126,0.37909017208751894,1.9463161280429009,1130
54,male,white,all,EXPIR,4.98601110008426,0.25392872327061644,0.35155659668494,3.9810128444630877,947
55,male,white,all,FEF75,-0.5539796847359426,-0.03690539913977733,0.5183035141174819,0.7453762540528838,947
56,male,white,all,FEV05,-1.025976683497174,0.035754247942831024,0.7877454865874116,0.8453180131170729,947
57,male,white,all,FEV1,-1.585487867746806,0.02905669091437447,0.8251399113803707,1.113192579871499,947
58,male,white,all,FEV3,-2.0399533910746905,0.033100360394980086,0.8417467163392623,1.3151488219734153,947
59,male,white,all,FEV6,-2.0982864506506127,0.043140074771423405,0.8449447186558483,1.3539088323734503,947
60,male,white,all,FVC,-2.123314709168616,0.04919258057819577,0.8444158017359937,1.3753758386664177,947
61,male,white,all,MMEF,-1.0686560561857035,0.01906143996412911,0.5436878936696734,1.4128449910891314,947
62,male,white,all,PEFR,-3.1953900431394944,0.1761358389542766,0.7491131029477625,2.6986433021261282,947
63,male,white,under,EXPIR,7.150708706738384,-0.2465080072850424,0.041311062436834356,2.4681270927091963,419
64,male,white,under,FEF75,0.1726534831814608,-0.15869512796004795,0.5731000726212439,0.7351921702642885,419
65,male,white,under,FEV05,0.09351166457898019,-0.12087291967400383,0.8784852098421729,0.8056201788510328,419
66,male,white,under,FEV1,0.07797890545036656,-0.20131736689690097,0.9110642563826788,1.0985699774646132,419
67,male,white,under,FEV3,0.14185406868060157,-0.25078222489810703,0.9187349092638468,1.2775128518172865,419
68,male,white,under,FEV6,0.1317990747274842,-0.245050775118617,0.9151313934229327,1.2874547665038008,419
69,male,white,under,FVC,0.1724556348317705,-0.2512559329782127,0.9139089841942182,1.2893034326078792,419
70,male,white,under,MMEF,0.004478119966064842,-0.15814532205438162,0.6662386097740519,1.3356899232486736,419
71,male,white,under,PEFR,0.9930246075042195,-0.39162899188420847,0.8232898883128995,2.3495235189862766,419
72,male,white,over,EXPIR,3.164558444711038,0.3096669105750071,0.1724636670641826,4.076097490859144,528
73,male,white,over,FEF75,2.380937312593164,-0.06258235813238153,0.5526614284176722,0.7422303255249603,528
74,male,white,over,FEV05,0.7422386446662603,0.0084633590254483,0.593241045529742,0.677410582822092,528
75,male,white,over,FEV1,1.012146450145397,-0.01366033412394139,0.6938107699924456,0.9103462130813972,528
76,male,white,over,FEV3,0.6793460273329273,-0.02325431951383067,0.7124965311942719,1.0463417683800473,528
77,male,white,over,FEV6,0.23442823671128643,-0.011202409839643261,0.6873629732489528,1.0346249138861263,528
78,male,white,over,FVC,-0.18871270546901542,-0.00013805995472681467,0.6417890040120298,1.00222280927132,528
79,male,white,over,MMEF,3.8234393482688875,-0.029079242505834147,0.505438198617509,1.4446265790518609,528
80,male,white,over,PEFR,1.7060739295552612,0.08490785775146678,0.437971317804277,2.0135164187513968,528
81,male,mexican,all,EXPIR,4.650894456364242,0.33119729709422413,0.34104650540208914,3.507849270502211,1202
82,male,mexican,all,FEF75,-0.7034755546811171,-0.039512571271781594,0.42388576666216593,0.7414091097233612,1202
83,male,mexican,all,FEV05,-1.2191275359638127,0.04154894963639317,0.7925542250422213,0.8023985413059321,1202
84,male,mexican,all,FEV1,-1.7174976303744125,0.03630673994363628,0.8254174047500014,1.0211108826055366,1202
85,male,mexican,all,FEV3,-2.054941565352503,0.0448571418140385,0.8330222349017179,1.1797699494782758,1202
86,male,mexican,all,FEV6,-2.1068761869615074,0.05297139538152813,0.8335566975182789,1.2155558769356394,1202
87,male,mexican,all,FVC,-2.1117001690483814,0.058878783999363166,0.8342224058219705,1.232918249686014,1202
88,male,mexican,all,MMEF,-1.5301776158436895,0.031929782438495376,0.5274716278990143,1.3742337731553311,1202
89,male,mexican,all,PEFR,-4.0956592020256295,0.18666767275860263,0.7321425242659572,2.641825988554288,1202
90,male,mexican,under,EXPIR,1.930880488152904,0.6568402302831772,0.059048517630238107,2.5301718550380548,600
91,male,mexican,under,FEF75,-0.2035106767260486,-0.11405772348076042,0.5049887538360409,0.7568036106309189,600
92,male,mexican,under,FEV05,0.020864703402754703,-0.12395490781448602,0.8613045447529571,0.7847342973659539,600
93,male,mexican,under,FEV1,-0.12191653099772015,-0.1773736120028955,0.8961159175903943,1.0352718847470948,600
94,male,mexican,under,FEV3,-0.06555160011090022,-0.21682164140539006,0.9000315962680596,1.1795020179498643,600
95,male,mexican,under,FEV6,-0.002800939851874684,-0.22380491167470393,0.8992140754007016,1.190229415108647,600
96,male,mexican,under,FVC,-0.005045228449937156,-0.22166423704125907,0.898834512240641,1.1917586294696652,600
97,male,mexican,under,MMEF,-0.009594686127225582,-0.18402308339074627,0.6430859498656751,1.336740379452565,600
98,male,mexican,under,PEFR,0.44986105230399875,-0.3873362108800125,0.7996233835255218,2.3384478387786136,600
99,male,mexican,over,EXPIR,3.8841055019000024,0.4105383458124338,0.2077254259559519,3.5682737404988774,602
