,sex,ethnicity,age_range,var,intercept,slope,r_squared,std,count
0,male,black,all,FEF75OFVC,49.95625483501034,-0.47684147847502995,0.1598695700661743,18.045439309143067,1077
1,male,black,all,FEF75OPEFR,24.082128708433096,-0.23207378940301907,0.18769236932798916,8.105487161700326,1077
2,male,black,all,FEV05OFEV3,70.3933815720189,-0.025488472887076858,0.0028709588565629662,7.19791425022414,1077
3,male,black,all,FEV05OFVC,70.38386791011459,-0.12200951023404243,0.05341981895953807,7.987646099329852,1077
4,male,black,all,FEV1OFEV3,89.49507611129468,-0.0712383662651124,0.041229894920751686,5.30865098777948,1077
5,male,black,all,FEV1OFEV6,88.9760436656316,-0.13775004825777115,0.10452501789057311,6.447004469499502,1077
6,male,black,all,FEV1OFVC,89.41428886088075,-0.19026211250624597,0.16727560168405686,7.039022461260815,1077
7,male,black,all,FEV3OFEV6,99.42693890694758,-0.07982681879174068,0.29332575019580187,2.2302321096127016,1077
8,male,black,all,FEV3OFVC,99.95651188406151,-0.1420535339338572,0.4006416248085197,3.395864438047836,1077
9,male,black,all,FEV6OFVC,100.58468370076348,-0.06654775594752409,0.3733340612589159,1.6480141822794068,1077
10,male,black,all,MMEFOFVC,1.1046061374324811,-0.0062304456968389895,0.10458533980318041,0.291514422555572,1077
11,male,black,all,MMEFOPEFR,53.3463437221076,-0.31427852320269023,0.17056200671225596,11.514627476243307,1077
12,male,black,all,PEFROFEV1,2.2834119776625554,0.007071776855678137,0.09114969942043405,0.3544273804319367,1077
13,male,black,all,PEFROFEV6,2.041925967849341,0.0026362109826989673,0.01237798472374041,0.35853497775175097,1077
14,male,black,all,PEFROFVC,2.054897834771021,0.0012215361676682537,0.0026714262689429003,0.35761116629353235,1077
15,male,black,under,FEF75OFVC,39.78092626257402,0.3216948245074478,0.0037222034942210325,17.870660361367595,599
16,male,black,under,FEF75OPEFR,19.47697114264605,0.14146232693799798,0.003930683808686997,7.647215448909441,599
17,male,black,under,FEV05OFEV3,73.20098586782443,-0.22651336330172964,0.011456828388784479,7.172296055620627,599
18,male,black,under,FEV05OFVC,71.20615384885834,-0.17702721221227638,0.006117576990355977,7.670910075859049,599
19,male,black,under,FEV1OFEV3,89.22488999825518,-0.042142507350516396,0.0007184294173927519,5.328744544204463,599
20,male,black,under,FEV1OFEV6,87.12167947044338,0.010673761105756536,3.4776195663166476e-05,6.134413209181046,599
